from,to,active
LHR,YYT,0
LHR,KIX,0
LHR,AUS,0
LHR,BWI,0
LHR,MLE,0
LHR,TFS,0
LHR,FSC,0
LHR,PIT,0
LHR,SZG,0
LHR,MED,0
LHR,LXR,0
LHR,PVK,0
LHR,NRT,0
LHR,OLB,0
LHR,PSA,0
LHR,JTR,0
LHR,BNA,0
LHR,LCG,0
LHR,CFU,0
LHR,SKT,0
LHR,SZX,0
LHR,BEG,0
LHR,DLM,0
LHR,JMK,0
LHR,DUR,0
ALG,MZW,1
ALG,VIE,1
ALG,BRU,1
ALG,CRL,1
ALG,OUA,1
ALG,YUL,1
ALG,ABJ,1
ALG,CAI,1
ALG,BOD,1
ALG,LIL,1
ALG,LYS,1
ALG,MRS,1
ALG,ETZ,1
ALG,MPL,1
ALG,NTE,1
ALG,NCE,1
ALG,CDG,1
ALG,ORY,1
ALG,SXB,1
ALG,TLS,1
ALG,FRA,1
ALG,MXP,1
ALG,FCO,1
ALG,AMM,1
ALG,BEY,1
ALG,BKO,1
ALG,NKC,1
ALG,CMN,1
ALG,NIM,1
ALG,LIS,1
ALG,DOH,1
ALG,MED,1
ALG,DSS,1
ALG,ALC,1
ALG,BCN,1
ALG,MAD,1
ALG,PMI,1
ALG,GVA,1
ALG,TUN,1
ALG,IST,1
ALG,DXB,1
ALG,LHR,1
ALG,SVO,0
ALG,MLH,0
ALG,LGW,0
ALG,AYT,0
ALG,VLC,0
ALG,PEK,0
ALG,BUD,0
ALG,MIR,0
AAE,LYS,1
AAE,MRS,1
AAE,CDG,1
AAE,ORY,1
AAE,IST,1
BLJ,MRS,1
BLJ,CDG,0
BLJ,ORY,0
BLJ,LYS,0
BJA,LIL,1
BJA,LYS,1
BJA,MRS,1
BJA,CDG,1
BJA,ORY,1
BJA,CRL,0
BSK,LYS,1
BSK,CDG,1
BSK,ORY,0
CFK,CDG,0
CFK,MRS,0
CZL,LYS,1
CZL,MRS,1
CZL,NCE,1
CZL,CDG,1
CZL,ORY,1
CZL,SXB,1
CZL,MED,1
CZL,TUN,1
CZL,IST,1
CZL,TLS,0
CZL,ETZ,0
CZL,LIL,0
CZL,CRL,0
CZL,MPL,0
CZL,MLH,0
GJL,MRS,0
ORN,MZW,1
ORN,CRL,1
ORN,LIL,1
ORN,LYS,1
ORN,MRS,1
ORN,MPL,1
ORN,CDG,1
ORN,ORY,1
ORN,TLS,1
ORN,CMN,1
ORN,MED,1
ORN,ALC,1
ORN,BCN,1
ORN,TUN,1
ORN,IST,1
ORN,DJE,0
ORN,FRA,0
ORN,SXB,0
ORN,BOD,0
ORN,BRU,0
ORN,MAD,0
ORN,NTE,0
ORN,ETZ,0
ORN,PGF,0
QSF,LYS,1
QSF,ORY,1
QSF,MRS,0
TLM,LIL,1
TLM,CDG,1
TLM,ORY,1
TLM,LYS,0
TLM,CRL,0
TLM,MRS,0
LAD,GRU,1
LAD,BZV,1
LAD,HAV,1
LAD,ADD,1
LAD,CDG,1
LAD,MPM,1
LAD,WDH,1
LAD,AMS,1
LAD,LOS,1
LAD,LIS,1
LAD,OPO,1
LAD,TMS,1
LAD,CPT,1
LAD,JNB,1
LAD,LUN,1
LAD,HRE,1
LAD,NBO,0
LAD,DOH,0
LAD,DXB,0
LAD,FRA,0
LAD,FIH,0
LAD,LBV,0
SDD,WDH,1
COO,OUA,1
COO,DLA,1
COO,PNR,1
COO,ABJ,1
COO,BSG,1
COO,SSG,1
COO,ADD,1
COO,CDG,1
COO,LBV,1
COO,BKO,1
COO,CMN,1
COO,NIM,1
COO,LOS,1
COO,DSS,1
COO,LFW,1
COO,TUN,0
COO,BGF,0
GBE,ADD,1
GBE,WDH,1
GBE,CPT,1
GBE,DUR,1
GBE,JNB,1
MUB,CPT,1
MUB,JNB,1
BBK,JNB,1
BOY,ABJ,1
OUA,ALG,1
OUA,ABJ,1
OUA,ACC,1
OUA,BKO,1
OUA,CMN,1
OUA,NIM,1
OUA,DSS,1
OUA,LFW,1
OUA,BRU,0
OUA,IST,0
OUA,CDG,0
OUA,TUN,0
OUA,CKY,0
OUA,FNA,0
BJM,ADD,1
BJM,NBO,1
BJM,KGL,1
BJM,TKQ,1
BJM,EBB,1
DLA,COO,1
DLA,BGF,1
DLA,NDJ,1
DLA,PNR,1
DLA,SSG,1
DLA,ADD,1
DLA,CDG,1
DLA,LBV,1
DLA,TMS,1
DLA,KGL,0
DLA,ABV,0
DLA,CMN,0
DLA,IST,0
DLA,BZV,0
DLA,LFW,0
DLA,ABJ,0
DLA,FIH,0
DLA,BRU,0
DLA,LOS,0
DLA,JNB,0
NSI,ABJ,1
NSI,ADD,1
NSI,CDG,1
