from,to,active,date
DFW,CUU,0,
DFW,GRU,0,
DFW,SDQ,0,
DFW,MTY,0,
DFW,HND,0,
DFW,SAP,0,
DFW,DGO,0,
DFW,GYE,0,
DFW,CDG,0,
DFW,DOH,0,
DFW,MAD,0,
DFW,LIR,0,
DFW,HUX,0,
DFW,SAL,0,
DFW,SYD,0,
DFW,SJO,0,
DFW,SKB,0,
DFW,TGU,0,
DFW,YUL,0,
DFW,GDL,0,
DFW,GCM,0,
DFW,DXB,0,
DFW,YYC,0,
DFW,AUA,0,
DFW,BOG,0,
DFW,DUB,0,
DFW,TRC,0,
DFW,AGU,0,
DFW,RTB,0,
DFW,NAS,0,
DFW,EZE,0,
DFW,HKG,0,
DFW,AMS,0,
DFW,ZIH,0,
DFW,LRD,0,
DFW,BZE,0,
DFW,CZM,0,
DFW,LIM,0,
DFW,MUC,0,
DFW,PVG,0,
DFW,AKL,0,
DFW,UIO,0,
DFW,MLM,0,
DFW,OAX,0,
DFW,PVR,0,
DFW,BJX,0,
DFW,GUA,0,
DFW,PEK,0,
DFW,NRT,0,
DFW,FCO,0,
DFW,PLS,0,
DFW,ZCL,0,
DFW,MZT,0,
DFW,QRO,0,
DFW,FRA,0,
DTW,YYZ,1,2020-04-07
DTW,AMS,1,2020-04-08
DTW,YUL,1,2020-04-11
DTW,LHR,1,2020-04-12
DTW,YVR,0,
DTW,MBJ,0,
DTW,PUJ,0,
DTW,ICN,0,
DTW,CUN,0,
DTW,SJD,0,
DTW,MTY,0,
DTW,HND,0,
DTW,AMM,0,
DTW,CDG,0,
DTW,MEX,0,
DTW,GCM,0,
DTW,NGO,0,
DTW,PKX,0,
DTW,NAS,0,
DTW,CZM,0,
DTW,MUC,0,
DTW,PVG,0,
DTW,PVR,0,
DTW,YOW,0,
DTW,BJX,0,
DTW,NRT,0,
DTW,FCO,0,
DTW,QRO,0,
DTW,FRA,0,
EWR,LHR,1,2020-04-07
EWR,TLV,1,2020-04-07
EWR,FRA,1,2020-04-07
EWR,ZRH,1,2020-04-08
EWR,YYZ,1,2020-04-10
EWR,YTZ,1,2020-04-10
EWR,KEF,1,2020-04-13
EWR,SIN,1,2020-04-13
EWR,YUL,1,2020-04-15
EWR,YVR,0,
EWR,IST,0,
EWR,ARN,0,
EWR,GRU,0,
EWR,DUS,0,
EWR,PMO,0,
EWR,PRG,0,
EWR,BRU,0,
EWR,EDI,0,
EWR,POS,0,
EWR,YQB,0,
EWR,YHZ,0,
EWR,LIM,0,
EWR,PVR,0,
EWR,SKB,0,
EWR,BOM,0,
EWR,STI,0,
EWR,OPO,0,
EWR,LBA,0,
EWR,STT,0,
EWR,ANU,0,
EWR,LIS,0,
EWR,CDG,0,
EWR,LIR,0,
EWR,RZE,0,
EWR,DXB,0,
EWR,BON,0,
EWR,YYC,0,
EWR,AUA,0,
EWR,VCE,0,
EWR,DUB,0,
EWR,BDA,0,
EWR,HKG,0,
EWR,CPH,0,
EWR,AKL,0,
EWR,NAP,0,
EWR,ATH,0,
EWR,MXP,0,
EWR,PLS,0,
EWR,BHX,0,
EWR,OSL,0,
EWR,WAW,0,
EWR,SDQ,0,
EWR,VIE,0,
EWR,HND,0,
EWR,BGI,0,
EWR,SAL,0,
EWR,MEX,0,
EWR,CPT,0,
EWR,NCE,0,
EWR,ORY,0,
EWR,GCM,0,
EWR,SXM,0,
EWR,PTY,0,
EWR,HAV,0,
EWR,EMA,0,
EWR,BCN,0,
EWR,GVA,0,
EWR,UVF,0,
EWR,BZE,0,
EWR,PEK,0,
EWR,MAD,0,
EWR,FCO,0,
EWR,MBJ,0,
EWR,SNN,0,
EWR,LFW,0,
EWR,NCL,0,
EWR,PUJ,0,
EWR,CUN,0,
EWR,SJD,0,
EWR,DEL,0,
EWR,SAP,0,
EWR,SJO,0,
EWR,BOG,0,
EWR,TXL,0,
EWR,GLA,0,
EWR,CUR,0,
EWR,POP,0,
EWR,NAS,0,
EWR,AMS,0,
EWR,MUC,0,
EWR,PVG,0,
EWR,MAN,0,
EWR,YOW,0,
EWR,GUA,0,
EWR,NRT,0,
FAI,FRA,0,2020-04-06
FAT,GDL,1,2020-04-06
FAT,BJX,0,2020-04-06
FAT,MLM,0,2020-04-06
FLL,STT,1,2020-04-07
FLL,YUL,1,2020-04-08
FLL,YYZ,1,2020-04-09
FLL,NAS,1,2020-04-09
FLL,YVR,0,
FLL,MBJ,0,
FLL,STI,0,
FLL,ELH,0,
FLL,PUJ,0,
FLL,MDE,0,
FLL,BEL,0,
FLL,CUN,0,
FLL,MGA,0,
FLL,ARN,0,
FLL,SDQ,0,
FLL,GHB,0,
FLL,SAP,0,
FLL,CLO,0,
FLL,GYE,0,
FLL,CDG,0,
FLL,BGI,0,
FLL,AXM,0,
FLL,SAL,0,
FLL,SJO,0,
FLL,YYT,0,
FLL,BIM,0,
FLL,PAP,0,
FLL,MHH,0,
FLL,GCM,0,
FLL,DXB,0,
FLL,SXM,0,
FLL,PTY,0,
FLL,YYC,0,
FLL,HAV,0,
FLL,BOG,0,
FLL,VCP,0,
FLL,YWG,0,
FLL,AUA,0,
FLL,POS,0,
FLL,BCN,0,
FLL,CNF,0,
FLL,YHM,0,
FLL,YQB,0,
FLL,BAQ,0,
FLL,YHZ,0,
FLL,BZE,0,
FLL,LIM,0,
FLL,REC,0,
FLL,UIO,0,
FLL,KIN,0,
FLL,BGA,0,
FLL,YOW,0,
FLL,GGT,0,
FLL,FPO,0,
FLL,GUA,0,
FLL,PLS,0,
FLL,OSL,0,
FLL,CTG,0,
HAY,BOG,0,2020-04-06
HNL,YVR,0,2020-04-06
HNL,CXI,0,2020-04-06
HNL,ICN,0,2020-04-06
HNL,MAJ,1,2020-04-06
HNL,NAN,0,2020-04-06
HNL,APW,0,2020-04-06
HNL,PPT,0,2020-04-06
HNL,GUM,1,2020-04-06
HNL,TPE,0,2020-04-06
HNL,YYZ,0,2020-04-06
HNL,HND,1,2020-04-06
HNL,KIX,0,2020-04-06
HNL,SYD,0,2020-04-06
HNL,BNE,0,2020-04-06
HNL,NGO,0,2020-04-06
HNL,YYC,0,2020-04-06
HNL,YEG,0,2020-04-06
HNL,MNL,0,2020-04-06
HNL,MEL,0,2020-04-06
HNL,AKL,0,2020-04-06
HNL,PVG,0,2020-04-06
HNL,FUK,0,2020-04-06
HNL,CTS,0,2020-04-06
HNL,NRT,0,2020-04-06
HOU,GCM,0,2020-04-06
HOU,BZE,0,2020-04-06
HOU,CZM,0,2020-04-06
HOU,MBJ,0,2020-04-06
HOU,AUA,0,2020-04-06
HOU,PUJ,0,2020-04-06
HOU,CUN,0,2020-04-06
HOU,PVR,0,2020-04-06
HOU,SJD,0,2020-04-06
HOU,LIR,0,2020-04-06
HOU,SJO,0,2020-04-06
HOU,NAS,0,2020-04-06
IAD,LHR,1,2020-04-07
IAD,YYZ,1,2020-04-07
IAD,YTZ,1,2020-04-07
IAD,KEF,1,2020-04-13
IAD,DEL,1,2020-04-15
IAD,YUL,1,2020-04-15
IAD,YVR,0,
IAD,CMN,0,
IAD,MBJ,0,
IAD,RUH,0,
IAD,PUJ,0,
IAD,WAW,0,
IAD,ICN,0,
IAD,TLV,0,
IAD,CUN,0,
IAD,IST,0,
IAD,SID,0,
IAD,STT,0,
IAD,GRU,0,
IAD,ZRH,0,
IAD,LIS,0,
IAD,ADD,0,
IAD,VIE,0,
IAD,HND,0,
IAD,CAI,0,
IAD,CDG,0,
IAD,DOH,0,
IAD,MAD,0,
IAD,AUH,0,
IAD,SJO,0,
IAD,SAL,0,
IAD,MEX,0,
IAD,BRU,0,
IAD,EDI,0,
IAD,GCM,0,
IAD,DXB,0,
IAD,SXM,0,
IAD,PTY,0,
IAD,AUA,0,
IAD,BOG,0,
IAD,DUB,0,
IAD,SVO,0,
IAD,BCN,0,
IAD,GVA,0,
IAD,NAS,0,
IAD,ACC,0,
IAD,AMS,0,
IAD,HKG,0,
IAD,CPH,0,
IAD,JED,0,
IAD,MUC,0,
IAD,YOW,0,
IAD,GUA,0,
IAD,PEK,0,
IAD,NRT,0,
IAD,FCO,0,
IAD,PLS,0,
IAD,MED,0,
IAD,FRA,0,
IAH,CUN,1,2020-04-07
IAH,MEX,1,2020-04-07
IAH,MTY,1,2020-04-07
IAH,SJD,1,2020-04-07
IAH,GDL,1,2020-04-07
IAH,YYZ,1,2020-04-08
IAH,YVR,0,
IAH,ZLO,0,
IAH,LHR,0,
IAH,MBJ,0,
IAH,LFW,0,
IAH,PUJ,0,
IAH,SCL,0,
IAH,GIG,0,
IAH,ACA,0,
IAH,IST,0,
IAH,MGA,0,
IAH,STT,0,
IAH,SLP,0,
IAH,PBC,0,
IAH,CUU,0,
IAH,GRU,0,
IAH,MID,0,
IAH,VER,0,
IAH,TPE,0,
IAH,HND,0,
IAH,SAP,0,
IAH,CDG,0,
IAH,DOH,0,
IAH,LIR,0,
IAH,SAL,0,
IAH,SYD,0,
IAH,SJO,0,
IAH,TGU,0,
IAH,YUL,0,
IAH,GCM,0,
IAH,DXB,0,
IAH,YEG,0,
IAH,YYC,0,
IAH,PTY,0,
IAH,BON,0,
IAH,HAV,0,
IAH,BOG,0,
IAH,AUA,0,
IAH,POS,0,
IAH,AGU,0,
IAH,RTB,0,
IAH,NAS,0,
IAH,EZE,0,
IAH,AMS,0,
IAH,ZIH,0,
IAH,LRD,0,
IAH,BZE,0,
IAH,CZM,0,
IAH,LIM,0,
IAH,MUC,0,
IAH,AKL,0,
IAH,UIO,0,
IAH,MAN,0,
IAH,MLM,0,
IAH,OAX,0,
IAH,TAM,0,
IAH,PVR,0,
IAH,BJX,0,
IAH,GUA,0,
IAH,PEK,0,
IAH,NRT,0,
IAH,PLS,0,
IAH,MZT,0,
IAH,QRO,0,
IAH,FRA,0,
IND,CUN,0,2020-04-06
IND,YYZ,0,2020-04-06
IND,NAS,0,2020-04-06
IND,CDG,0,2020-04-06
JAE,LIM,1,2020-04-06
JAR,THR,0,2020-04-06
JBS,POA,0,2020-04-06
JFK,LHR,1,2020-04-07
JFK,LGW,1,2020-04-07
JFK,LCY,1,2020-04-07
JFK,CUN,1,2020-04-07
JFK,YYZ,1,2020-04-07
JFK,FCO,1,2020-04-07
JFK,AMS,1,2020-04-07
JFK,YUL,1,2020-04-07
JFK,DUB,1,2020-04-07
JFK,CDG,1,2020-04-08
JFK,ORY,1,2020-04-08
JFK,NRT,1,2020-04-08
JFK,HND,1,2020-04-08
JFK,MEX,1,2020-04-08
JFK,ICN,1,2020-04-08
JFK,KEF,1,2020-04-13
JFK,SDQ,1,2020-04-20
JFK,YVR,0,
JFK,CMN,0,
JFK,IST,0,
JFK,GRU,0,
JFK,ZRH,0,
JFK,MTY,0,
JFK,DUS,0,
JFK,PRG,0,
JFK,BRU,0,
JFK,EDI,0,
JFK,BEG,0,
JFK,GEO,0,
JFK,SVO,0,
JFK,POS,0,
JFK,TFN,0,
JFK,MNL,0,
JFK,JNB,0,
JFK,BUD,0,
JFK,LIM,0,
JFK,ABJ,0,
JFK,MED,0,
JFK,FRA,0,
JFK,SKB,0,
JFK,BOM,0,
JFK,STI,0,
JFK,MDE,0,
JFK,SCL,0,
JFK,LOS,0,
JFK,DSS,0,
JFK,STT,0,
JFK,CAN,0,
JFK,ANU,0,
JFK,CTU,0,
JFK,LIS,0,
JFK,FOC,0,
JFK,LIR,0,
JFK,PAP,0,
JFK,GDL,0,
JFK,DXB,0,
JFK,YYC,0,
JFK,TAS,0,
JFK,AUA,0,
JFK,CKG,0,
JFK,HEL,0,
JFK,VCE,0,
JFK,VCP,0,
JFK,BDA,0,
JFK,TAB,0,
JFK,HKG,0,
JFK,CPH,0,
JFK,GYD,0,
JFK,ATH,0,
JFK,KBP,0,
JFK,MXP,0,
JFK,PLS,0,
JFK,OSL,0,
JFK,CTG,0,
JFK,SVD,0,
JFK,RUH,0,
JFK,WAW,0,
JFK,TLV,0,
JFK,KWI,0,
JFK,TPE,0,
JFK,VIE,0,
JFK,AMM,0,
JFK,GYE,0,
JFK,DOH,0,
JFK,BGI,0,
JFK,AUH,0,
JFK,SAL,0,
JFK,NCE,0,
JFK,GCM,0,
JFK,SXM,0,
JFK,PTY,0,
JFK,HAV,0,
JFK,BCN,0,
JFK,GVA,0,
JFK,UVF,0,
JFK,PEK,0,
JFK,MAD,0,
JFK,MBJ,0,
JFK,SNN,0,
JFK,PUJ,0,
JFK,GIG,0,
JFK,DEL,0,
JFK,WUH,0,
JFK,CAI,0,
JFK,SAP,0,
JFK,GND,0,
JFK,SJO,0,
JFK,NBO,0,
JFK,BOG,0,
JFK,TXL,0,
JFK,GLA,0,
JFK,CUR,0,
JFK,POP,0,
JFK,NAS,0,
JFK,EZE,0,
JFK,ACC,0,
JFK,JED,0,
JFK,PTP,0,
JFK,MUC,0,
JFK,PVG,0,
JFK,KIN,0,
JFK,MAN,0,
JFK,GUA,0,
JFK,KRK,0,
JNU,YXY,0,2020-04-06
KCK,IKT,1,2020-04-06
KOA,YVR,0,2020-04-06
KOA,HND,0,2020-04-06
KOA,NRT,0,2020-04-06
KOT,KSM,0,2020-04-06
KSR,UPG,1,2020-04-06
KWK,KKH,0,2020-04-06
LAS,LHR,1,2020-04-20
LAS,LGW,1,2020-04-20
LAS,YXU,1,2020-04-20
LAS,YVR,0,
LAS,YLW,0,
LAS,TLV,0,
LAS,ICN,0,
LAS,ZRH,0,
LAS,MTY,0,
LAS,YYZ,0,
LAS,MEX,0,
LAS,YUL,0,
LAS,GDL,0,
LAS,YEG,0,
LAS,YYC,0,
LAS,PTY,0,
LAS,YWG,0,
LAS,YHM,0,
LAS,YXX,0,
LAS,AMS,0,
LAS,LRD,0,
LAS,MUC,0,
LAS,YXE,0,
LAS,MAN,0,
LAS,YQR,0,
LAS,BJX,0,
LAS,FRA,0,
LAX,LHR,1,2020-04-07
LAX,LGW,1,2020-04-07
LAX,SJD,1,2020-04-07
LAX,NRT,1,2020-04-07
LAX,HND,1,2020-04-07
LAX,MEX,1,2020-04-07
LAX,GDL,1,2020-04-07
LAX,YVR,1,2020-04-07
LAX,YYZ,1,2020-04-07
LAX,ICN,1,2020-04-07
LAX,PVR,1,2020-04-08
LAX,CDG,1,2020-04-09
LAX,UPN,0,
LAX,IST,0,
LAX,CEB,0,
LAX,TNA,0,
LAX,GRU,0,
LAX,ZRH,0,
LAX,MTY,0,
LAX,SVO,0,
LAX,MNL,0,
LAX,LIM,0,
LAX,XMN,0,
LAX,OAX,0,
LAX,CHC,0,
LAX,SZX,0,
LAX,FRA,0,
LAX,ZLO,0,
LAX,SCL,0,
LAX,NAN,0,
LAX,CAN,0,
LAX,PPT,0,
LAX,CTU,0,
LAX,KIX,0,
LAX,LIR,0,
LAX,NKG,0,
LAX,BNE,0,
LAX,DXB,0,
LAX,YYC,0,
LAX,CKG,0,
LAX,SIN,0,
LAX,HEL,0,
LAX,DUB,0,
LAX,HKG,0,
LAX,CPH,0,
LAX,AKL,0,
LAX,HGH,0,
LAX,OSL,0,
LAX,RAR,0,
LAX,WAW,0,
LAX,TLV,0,
LAX,TPE,0,
LAX,VIE,0,
LAX,DGO,0,
LAX,DOH,0,
LAX,SHE,0,
LAX,AUH,0,
LAX,SAL,0,
LAX,YEG,0,
LAX,PTY,0,
LAX,BCN,0,
LAX,TAO,0,
LAX,ZIH,0,
LAX,BZE,0,
LAX,XIY,0,
LAX,PEK,0,
LAX,ZCL,0,
LAX,MAD,0,
LAX,FCO,0,
LAX,CSX,0,
LAX,CUN,0,
LAX,LTO,0,
LAX,SYD,0,
LAX,SJO,0,
LAX,YUL,0,
LAX,BOG,0,
LAX,AGU,0,
LAX,EZE,0,
LAX,AMS,0,
LAX,JED,0,
LAX,MEL,0,
LAX,MUC,0,
LAX,PVG,0,
LAX,MLM,0,
LAX,MAN,0,
LAX,BJX,0,
LAX,GUA,0,
LAX,MZT,0,
LAX,KRK,0,
LGA,YHZ,0,2020-04-06
LGA,YYZ,0,2020-04-06
LGA,AUA,0,2020-04-06
LGA,YOW,0,2020-04-06
LGA,BDA,0,2020-04-06
LGA,NAS,0,2020-04-06
LGA,YUL,0,2020-04-06
LIH,YVR,0,2020-04-06
LIO,SJO,0,2020-04-06
LKE,CXH,0,2020-04-06
LRD,MEX,0,2020-04-06
MCI,CUN,0,2020-04-06
MCI,YYZ,0,2020-04-06
MCO,YYZ,1,2020-04-09
MCO,LGW,1,2020-04-13
MCO,YXU,1,2020-04-13
MCO,YVR,0,
MCO,MAO,0,
MCO,MBJ,0,
MCO,ELH,0,
MCO,PUJ,0,
MCO,MDE,0,
MCO,CUN,0,
MCO,STT,0,
MCO,GRU,0,
MCO,SDQ,0,
MCO,ZRH,0,
MCO,MTY,0,
MCO,SAP,0,
MCO,FOR,0,
MCO,BSB,0,
MCO,CDG,0,
MCO,KEF,0,
MCO,SAL,0,
MCO,SJO,0,
MCO,YYT,0,
MCO,MEX,0,
MCO,YUL,0,
MCO,PAP,0,
MCO,MHH,0,
MCO,YQM,0,
MCO,GDL,0,
MCO,DXB,0,
MCO,YEG,0,
MCO,YYC,0,
MCO,PTY,0,
MCO,HAV,0,
MCO,BOG,0,
MCO,VCP,0,
MCO,BFS,0,
MCO,DUB,0,
MCO,GLA,0,
MCO,YWG,0,
MCO,POS,0,
MCO,CNF,0,
MCO,YHM,0,
MCO,NAS,0,
MCO,EZE,0,
MCO,YQB,0,
MCO,AMS,0,
MCO,YHZ,0,
MCO,LIM,0,
MCO,MUC,0,
MCO,REC,0,
MCO,KIN,0,
MCO,MAN,0,
MCO,YXE,0,
MCO,YQR,0,
MCO,YOW,0,
MCO,GUA,0,
MCO,OSL,0,
MCO,CTG,0,
MCO,FRA,0,
MDR,MRE,0,2020-04-06
MDW,GDL,1,2020-04-06
MDW,MBJ,0,2020-04-06
MDW,MLM,1,2020-04-06
MDW,DGO,0,2020-04-06
MDW,YTZ,0,2020-04-06
MDW,PUJ,0,2020-04-06
MDW,CUN,0,2020-04-06
MDW,BJX,1,2020-04-06
MDW,SJD,0,2020-04-06
MDW,AGU,1,2020-04-06
MDW,ZCL,1,2020-04-06
MEM,YYZ,0,2020-04-06
MFE,MEX,1,2020-04-06
MHM,HIR,1,2020-04-06
MHM,ATD,0,2020-04-06
MIA,CUN,1,2020-04-07
MIA,MEX,1,2020-04-07
MIA,SCL,1,2020-04-07
MIA,STT,1,2020-04-07
MIA,GRU,1,2020-04-08
MIA,LHR,1,2020-04-09
MIA,LGW,1,2020-04-09
MIA,NAS,1,2020-04-09
MIA,MBJ,1,2020-04-10
MIA,CMN,0,
MIA,CAP,0,
MIA,IST,0,
MIA,ARN,0,
MIA,ZRH,0,
MIA,MTY,0,
MIA,SSA,0,
MIA,YYZ,0,
MIA,DUS,0,
MIA,COR,0,
MIA,FOR,0,
MIA,TGU,0,
MIA,BRU,0,
MIA,GEO,0,
MIA,SVO,0,
MIA,POS,0,
MIA,YQB,0,
MIA,LIM,0,
MIA,REC,0,
MIA,FRA,0,
MIA,SKB,0,
MIA,MAO,0,
MIA,STI,0,
MIA,MDE,0,
MIA,BEL,0,
MIA,ANU,0,
MIA,MID,0,
MIA,LIS,0,
MIA,CLO,0,
MIA,CDG,0,
MIA,LIR,0,
MIA,CYB,0,
MIA,PAP,0,
MIA,YQM,0,
MIA,GDL,0,
MIA,BON,0,
MIA,AUA,0,
MIA,HEL,0,
MIA,DUB,0,
MIA,BDA,0,
MIA,CPH,0,
MIA,CZM,0,
MIA,MXP,0,
MIA,MVD,0,
MIA,FPO,0,
MIA,PLS,0,
MIA,OSL,0,
MIA,CTG,0,
MIA,SVD,0,
MIA,VVI,0,
MIA,WAW,0,
MIA,TLV,0,
MIA,SDQ,0,
MIA,GYE,0,
MIA,ZSA,0,
MIA,DOH,0,
MIA,BGI,0,
MIA,SAL,0,
MIA,MHH,0,
MIA,ORY,0,
MIA,GCM,0,
MIA,SXM,0,
MIA,PTY,0,
MIA,HAV,0,
MIA,BCN,0,
MIA,RTB,0,
MIA,UVF,0,
MIA,BZE,0,
MIA,UIO,0,
MIA,PBM,0,
MIA,MAD,0,
MIA,FCO,0,
MIA,ELH,0,
MIA,PUJ,0,
MIA,GIG,0,
MIA,FDF,0,
MIA,MGA,0,
MIA,SAP,0,
MIA,BSB,0,
MIA,GND,0,
MIA,SJO,0,
MIA,PEI,0,
MIA,YUL,0,
MIA,BOG,0,
MIA,CUR,0,
MIA,POP,0,
MIA,EZE,0,
MIA,AMS,0,
MIA,BAQ,0,
MIA,PTP,0,
MIA,MUC,0,
MIA,KIN,0,
MIA,YOW,0,
MIA,GGT,0,
MIA,GUA,0,
MKE,CUN,0,2020-04-06
MKE,YYZ,0,2020-04-06
MOU,KSM,0,2020-04-06
MSP,YYC,1,2020-04-07
MSP,KEF,1,2020-04-15
MSP,AMS,1,2020-04-18
MSP,YVR,0,
MSP,LHR,0,
MSP,MBJ,0,
MSP,PUJ,0,
MSP,ICN,0,
MSP,CUN,0,
MSP,SJD,0,
MSP,YYZ,0,
MSP,HND,0,
MSP,CDG,0,
MSP,LIR,0,
MSP,HUX,0,
MSP,MEX,0,
MSP,YUL,0,
MSP,GCM,0,
MSP,YEG,0,
MSP,AUA,0,
MSP,YWG,0,
MSP,DUB,0,
MSP,NAS,0,
MSP,ZIH,0,
MSP,BZE,0,
MSP,CZM,0,
MSP,YXE,0,
MSP,PVR,0,
MSP,MZT,0,
MSP,FRA,0,
MYR,YTZ,0,2020-04-06
