country,lat,long,cum_case,new_case,cum_death,new_death,cum_cured,new_cured,population,case_ratio,death_ratio
Switzerland,3979.5470000000055,699.3374999999996,1498055,30618.0,73462.0,1891.0,949183.0,27700.0,8654622.0,0.0035377628277699475,0.00021849596666382426
Syria,2053.3224250000026,2300.812084999999,1889,58.0,134.0,3.0,774.0,36.0,17500658.0,3.3141611018282854e-06,1.7142212595663545e-07
Taiwan,2820.299999999997,14399.0,24765,440.0,357.0,7.0,12400.0,398.0,23816775.0,1.8474373629511132e-05,2.939104895604044e-07
Tajikistan,777.2206800000001,1425.5218599999994,14070,1936.0,368.0,41.0,641.0,641.0,9537645.0,0.00020298511844380872,4.298755091010412e-06
Tanzania,-413.9850000000007,2267.771999999999,14206,509.0,536.0,21.0,4102.0,183.0,59734218.0,8.5210791576781e-06,3.5155729334231845e-07
Thailand,1785.0,12019.0,148730,3033.0,2305.0,56.0,103783.0,2857.0,69799978.0,4.3452735758741927e-05,8.02292516481882e-07
Timor-Leste,-523.5788029999995,7417.924801000011,831,24.0,0.0,0.0,446.0,24.0,1318445.0,1.820326217627584e-05,0.0
Togo,646.4625000000005,61.86000000000011,6317,338.0,333.0,12.0,2880.0,107.0,8278724.0,4.082754782017132e-05,1.44949873917768e-06
Trinidad and Tobago,716.3506000000011,-4101.907499999997,6276,116.0,397.0,8.0,2680.0,107.0,1399488.0,8.288745598390269e-05,5.71637627475191e-06
Tunisia,2618.0,693.0,45061,1044.0,1845.0,47.0,15096.0,826.0,11818619.0,8.833519381579184e-05,3.97677596680289e-06
Turkey,2727.458999999997,2467.031000000003,4779027,151615.0,122334.0,4199.0,2072884.0,112895.0,84339067.0,0.0017976841029080865,4.9787128899588136e-05
United States,4413.7338000000045,-11389.835100000033,45753784,1528568.0,2545624.0,91921.0,5993779.0,289392.0,331002651.0,0.004617993225679634,0.0002777047244857262
Uganda,60.0,1920.0,4718,260.0,0.0,0.0,1717.0,63.0,45741007.0,5.684177438419753e-06,0.0
Ukraine,3773.593199999994,2430.9167999999995,426624,18876.0,11263.0,548.0,71224.0,5632.0,43733762.0,0.000431611623075097,1.2530364984379803e-05
United Arab Emirates,2688.0,6048.0,533805,25063.0,4633.0,227.0,135136.0,10791.0,9890402.0,0.0025340729325258973,2.295154433560941e-05
United Kingdom,20768.574599999953,-28005.073800000126,7344562,250138.0,1072863.0,35422.0,35815.0,1443.0,67886011.0,0.0036846766559902894,0.0005217864399191168
Uruguay,-2211.550399999999,-3792.0744000000022,31454,738.0,632.0,20.0,17517.0,579.0,3473730.0,0.00021245174495427107,5.757499863259378e-06
Uzbekistan,2730.9150000000027,4262.629800000004,82572,2855.0,353.0,13.0,44203.0,2338.0,33469203.0,8.530230014739221e-05,3.8841677825432534e-07
Venezuela,430.39460000000076,-4461.509900000001,16454,749.0,467.0,10.0,7071.0,253.0,28435940.0,2.6339906470473634e-05,3.516676431304891e-07
Vietnam,1888.0,12744.0,16260,324.0,0.0,0.0,10439.0,263.0,97338579.0,3.328587732927558e-06,0.0
Palestine,2428.3671999999997,2677.7231999999995,17029,391.0,95.0,2.0,6333.0,346.0,5101414.0,7.6645416349271e-05,3.920481654694169e-07
Western Sahara,1089.6975000000004,-579.8610000000003,256,6.0,0.0,0.0,144.0,6.0,597339.0,1.0044547568466148e-05,0.0
Yemen,622.1090800000001,1940.65552,1190,167.0,190.0,28.0,30.0,5.0,29825964.0,5.5991484466352875e-06,9.387793802741799e-07
Zambia,-971.2520999999996,1781.8479000000023,8987,772.0,166.0,7.0,3102.0,192.0,18383955.0,4.1993140213844085e-05,3.807668154105033e-07
