date,country,lat,long,cum_case,new_case,cum_death,new_death,cum_cured,new_cured,continent,index
2020-01-27,Nepal,28.1667,84.25,1,0.0,0.0,0.0,0.0,0.0,Asia,140
2020-01-27,Singapore,1.2833,103.8333,5,1.0,0.0,0.0,0.0,0.0,Asia,32
2020-01-27,Sri Lanka,7.0,81.0,1,1.0,0.0,0.0,0.0,0.0,Asia,78
2020-01-27,Taiwan,23.7,121.0,5,1.0,0.0,0.0,0.0,0.0,Asia,60
2020-01-27,Thailand,15.0,101.0,8,0.0,0.0,0.0,2.0,0.0,Asia,40
2020-01-27,United States,190.4758,-558.5555999999999,5,0.0,0.0,0.0,0.0,0.0,America,6
2020-01-27,Vietnam,16.0,108.0,2,0.0,0.0,0.0,0.0,0.0,Asia,68
2020-01-28,Australia,-71.6824,296.17240000000004,5,0.0,0.0,0.0,0.0,0.0,Oceania,22
2020-01-28,Cambodia,11.55,104.9167,1,0.0,0.0,0.0,0.0,0.0,Asia,90
2020-01-28,Canada,100.53649999999999,-208.44389999999999,2,1.0,0.0,0.0,0.0,0.0,America,20
2020-01-28,China,1051.6439999999998,3596.3273000000004,5509,2632.0,131.0,49.0,101.0,43.0,Asia,1
2020-01-28,France,46.2276,2.2137,4,1.0,0.0,0.0,0.0,0.0,Europe,7
2020-01-28,Germany,51.0,9.0,4,3.0,0.0,0.0,0.0,0.0,Europe,5
2020-01-28,Japan,36.0,138.0,7,3.0,0.0,0.0,1.0,0.0,Asia,17
2020-01-28,South Korea,36.0,128.0,4,0.0,0.0,0.0,0.0,0.0,Asia,8
2020-01-28,Malaysia,2.5,112.5,4,0.0,0.0,0.0,0.0,0.0,Asia,18
2020-01-28,Nepal,28.1667,84.25,1,0.0,0.0,0.0,0.0,0.0,Asia,140
2020-01-28,Singapore,1.2833,103.8333,7,2.0,0.0,0.0,0.0,0.0,Asia,32
2020-01-28,Sri Lanka,7.0,81.0,1,0.0,0.0,0.0,0.0,0.0,Asia,78
2020-01-28,Taiwan,23.7,121.0,8,3.0,0.0,0.0,0.0,0.0,Asia,60
2020-01-28,Thailand,15.0,101.0,14,6.0,0.0,0.0,5.0,3.0,Asia,40
2020-01-28,United States,190.4758,-558.5555999999999,5,0.0,0.0,0.0,0.0,0.0,America,6
2020-01-28,Vietnam,16.0,108.0,2,0.0,0.0,0.0,0.0,0.0,Asia,68
2020-01-29,Australia,-99.6991,449.5724,6,1.0,0.0,0.0,0.0,0.0,Oceania,22
2020-01-29,Cambodia,11.55,104.9167,1,0.0,0.0,0.0,0.0,0.0,Asia,90
2020-01-29,Canada,100.53649999999999,-208.44389999999999,2,0.0,0.0,0.0,0.0,0.0,America,20
2020-01-29,China,1051.6439999999998,3596.3273000000004,6087,578.0,133.0,2.0,120.0,19.0,Asia,1
2020-01-29,Finland,64.0,26.0,1,1.0,0.0,0.0,0.0,0.0,Europe,30
2020-01-29,France,46.2276,2.2137,5,1.0,0.0,0.0,0.0,0.0,Europe,7
2020-01-29,Germany,51.0,9.0,4,0.0,0.0,0.0,0.0,0.0,Europe,5
2020-01-29,Japan,36.0,138.0,7,0.0,0.0,0.0,1.0,0.0,Asia,17
2020-01-29,South Korea,36.0,128.0,4,0.0,0.0,0.0,0.0,0.0,Asia,8
2020-01-29,Malaysia,2.5,112.5,7,3.0,0.0,0.0,0.0,0.0,Asia,18
2020-01-29,Nepal,28.1667,84.25,1,0.0,0.0,0.0,0.0,0.0,Asia,140
2020-01-29,Singapore,1.2833,103.8333,7,0.0,0.0,0.0,0.0,0.0,Asia,32
2020-01-29,Sri Lanka,7.0,81.0,1,0.0,0.0,0.0,0.0,0.0,Asia,78
2020-01-29,Taiwan,23.7,121.0,8,0.0,0.0,0.0,0.0,0.0,Asia,60
2020-01-29,Thailand,15.0,101.0,14,0.0,0.0,0.0,5.0,0.0,Asia,40
2020-01-29,United States,190.4758,-558.5555999999999,5,0.0,0.0,0.0,0.0,0.0,America,6
2020-01-29,United Arab Emirates,24.0,54.0,4,4.0,0.0,0.0,0.0,0.0,Asia,54
2020-01-29,Vietnam,16.0,108.0,2,0.0,0.0,0.0,0.0,0.0,Asia,68
2020-01-30,Australia,-99.6991,449.5724,9,3.0,0.0,0.0,2.0,2.0,Oceania,22
2020-01-30,Cambodia,11.55,104.9167,1,0.0,0.0,0.0,0.0,0.0,Asia,90
2020-01-30,Canada,100.53649999999999,-208.44389999999999,2,0.0,0.0,0.0,0.0,0.0,America,20
2020-01-30,China,1083.3366999999998,3684.4197000000004,8141,2054.0,171.0,38.0,135.0,15.0,Asia,1
2020-01-30,Finland,64.0,26.0,1,0.0,0.0,0.0,0.0,0.0,Europe,30
2020-01-30,France,46.2276,2.2137,5,0.0,0.0,0.0,0.0,0.0,Europe,7
2020-01-30,Germany,51.0,9.0,4,0.0,0.0,0.0,0.0,0.0,Europe,5
2020-01-30,India,21.0,78.0,1,1.0,0.0,0.0,0.0,0.0,Asia,48
2020-01-30,Japan,36.0,138.0,11,4.0,0.0,0.0,1.0,0.0,Asia,17
2020-01-30,South Korea,36.0,128.0,4,0.0,0.0,0.0,0.0,0.0,Asia,8
2020-01-30,Malaysia,2.5,112.5,8,1.0,0.0,0.0,0.0,0.0,Asia,18
2020-01-30,Nepal,28.1667,84.25,1,0.0,0.0,0.0,0.0,0.0,Asia,140
2020-01-30,Philippines,13.0,122.0,1,1.0,0.0,0.0,0.0,0.0,Asia,45
2020-01-30,Singapore,1.2833,103.8333,10,3.0,0.0,0.0,0.0,0.0,Asia,32
2020-01-30,Sri Lanka,7.0,81.0,1,0.0,0.0,0.0,0.0,0.0,Asia,78
2020-01-30,Taiwan,23.7,121.0,9,1.0,0.0,0.0,0.0,0.0,Asia,60
2020-01-30,Thailand,15.0,101.0,14,0.0,0.0,0.0,5.0,0.0,Asia,40
2020-01-30,United States,190.4758,-558.5555999999999,5,0.0,0.0,0.0,0.0,0.0,America,6
2020-01-30,United Arab Emirates,24.0,54.0,4,0.0,0.0,0.0,0.0,0.0,Asia,54
2020-01-30,Vietnam,16.0,108.0,2,0.0,0.0,0.0,0.0,0.0,Asia,68
2020-01-31,Australia,-99.6991,449.5724,9,0.0,0.0,0.0,2.0,0.0,Oceania,22
2020-01-31,Cambodia,11.55,104.9167,1,0.0,0.0,0.0,0.0,0.0,Asia,90
2020-01-31,Canada,100.53649999999999,-208.44389999999999,4,2.0,0.0,0.0,0.0,0.0,America,20
2020-01-31,China,1083.3366999999998,3684.4197000000004,9802,1661.0,213.0,42.0,214.0,79.0,Asia,1
2020-01-31,Finland,64.0,26.0,1,0.0,0.0,0.0,0.0,0.0,Europe,30
2020-01-31,France,46.2276,2.2137,5,0.0,0.0,0.0,0.0,0.0,Europe,7
2020-01-31,Germany,51.0,9.0,5,1.0,0.0,0.0,0.0,0.0,Europe,5
2020-01-31,India,21.0,78.0,1,0.0,0.0,0.0,0.0,0.0,Asia,48
2020-01-31,Italy,43.0,12.0,2,2.0,0.0,0.0,0.0,0.0,Europe,2
2020-01-31,Japan,36.0,138.0,15,4.0,0.0,0.0,1.0,0.0,Asia,17
2020-01-31,South Korea,36.0,128.0,11,7.0,0.0,0.0,0.0,0.0,Asia,8
2020-01-31,Malaysia,2.5,112.5,8,0.0,0.0,0.0,0.0,0.0,Asia,18
2020-01-31,Nepal,28.1667,84.25,1,0.0,0.0,0.0,0.0,0.0,Asia,140
2020-01-31,Philippines,13.0,122.0,1,0.0,0.0,0.0,0.0,0.0,Asia,45
2020-01-31,Russia,60.0,90.0,2,2.0,0.0,0.0,0.0,0.0,Europe,47
2020-01-31,Singapore,1.2833,103.8333,13,3.0,0.0,0.0,0.0,0.0,Asia,32
2020-01-31,Sri Lanka,7.0,81.0,1,0.0,0.0,0.0,0.0,0.0,Asia,78
2020-01-31,Sweden,63.0,16.0,1,1.0,0.0,0.0,0.0,0.0,Europe,15
2020-01-31,Taiwan,23.7,121.0,10,1.0,0.0,0.0,0.0,0.0,Asia,60
2020-01-31,Thailand,15.0,101.0,19,5.0,0.0,0.0,5.0,0.0,Asia,40
2020-01-31,United States,227.82989999999998,-680.5107999999999,7,2.0,0.0,0.0,0.0,0.0,America,6
2020-01-31,United Arab Emirates,24.0,54.0,4,0.0,0.0,0.0,0.0,0.0,Asia,54
2020-01-31,United Kingdom,55.3781,-3.4360000000000004,2,2.0,0.0,0.0,0.0,0.0,Europe,10
2020-01-31,Vietnam,16.0,108.0,2,0.0,0.0,0.0,0.0,0.0,Asia,68
2020-02-01,Australia,-134.6276,588.1731,12,3.0,0.0,0.0,2.0,0.0,Oceania,22
2020-02-01,Cambodia,11.55,104.9167,1,0.0,0.0,0.0,0.0,0.0,Asia,90
2020-02-01,Canada,100.53649999999999,-208.44389999999999,4,0.0,0.0,0.0,0.0,0.0,America,20
2020-02-01,China,1083.3366999999998,3684.4197000000004,11891,2089.0,259.0,46.0,275.0,61.0,Asia,1
2020-02-01,Finland,64.0,26.0,1,0.0,0.0,0.0,0.0,0.0,Europe,30
2020-02-01,France,46.2276,2.2137,6,1.0,0.0,0.0,0.0,0.0,Europe,7
2020-02-01,Germany,51.0,9.0,8,3.0,0.0,0.0,0.0,0.0,Europe,5
2020-02-01,India,21.0,78.0,1,0.0,0.0,0.0,0.0,0.0,Asia,48
2020-02-01,Italy,43.0,12.0,2,0.0,0.0,0.0,0.0,0.0,Europe,2
2020-02-01,Japan,36.0,138.0,20,5.0,0.0,0.0,1.0,0.0,Asia,17
2020-02-01,South Korea,36.0,128.0,12,1.0,0.0,0.0,0.0,0.0,Asia,8
2020-02-01,Malaysia,2.5,112.5,8,0.0,0.0,0.0,0.0,0.0,Asia,18
2020-02-01,Nepal,28.1667,84.25,1,0.0,0.0,0.0,0.0,0.0,Asia,140
2020-02-01,Philippines,13.0,122.0,1,0.0,0.0,0.0,0.0,0.0,Asia,45
2020-02-01,Russia,60.0,90.0,2,0.0,0.0,0.0,0.0,0.0,Europe,47
2020-02-01,Singapore,1.2833,103.8333,16,3.0,0.0,0.0,0.0,0.0,Asia,32
2020-02-01,Spain,40.0,-4.0,1,1.0,0.0,0.0,0.0,0.0,Europe,4
2020-02-01,Sri Lanka,7.0,81.0,1,0.0,0.0,0.0,0.0,0.0,Asia,78
2020-02-01,Sweden,63.0,16.0,1,0.0,0.0,0.0,0.0,0.0,Europe,15
2020-02-01,Taiwan,23.7,121.0,10,0.0,0.0,0.0,0.0,0.0,Asia,60
2020-02-01,Thailand,15.0,101.0,19,0.0,0.0,0.0,5.0,0.0,Asia,40
2020-02-01,United States,270.19,-751.5696999999999,8,1.0,0.0,0.0,0.0,0.0,America,6
2020-02-01,United Arab Emirates,24.0,54.0,4,0.0,0.0,0.0,0.0,0.0,Asia,54
2020-02-01,United Kingdom,55.3781,-3.4360000000000004,2,0.0,0.0,0.0,0.0,0.0,Europe,10
2020-02-01,Vietnam,16.0,108.0,6,4.0,0.0,0.0,1.0,1.0,Asia,68
2020-02-02,Australia,-134.6276,588.1731,12,0.0,0.0,0.0,2.0,0.0,Oceania,22
2020-02-02,Cambodia,11.55,104.9167,1,0.0,0.0,0.0,0.0,0.0,Asia,90
2020-02-02,Canada,100.53649999999999,-208.44389999999999,4,0.0,0.0,0.0,0.0,0.0,America,20
2020-02-02,China,1083.3366999999998,3684.4197000000004,16630,4739.0,361.0,102.0,463.0,188.0,Asia,1
