date,country,lat,long,cum_case,new_case,cum_death,new_death,cum_cured,new_cured,age,age_diff_kor,cfr_adj,cum_case_adj,cum_case_diff
2020-05-19,Central African Republic,6.6111,20.9394,366,39.0,0.0,0.0,18.0,5.0,66.28662128581148,-2.0716732199674226,0.020885342513009438,366.0,0.0
2020-05-19,Chad,15.4542,18.7322,545,26.0,56.0,3.0,139.0,22.0,66.36658256515288,-1.9917119406260184,0.02099291452789884,2668.0,2123.0
2020-05-19,Chile,-35.6751,-71.543,49579,3520.0,509.0,31.0,21507.0,1342.0,68.65434622049852,0.2960517147196242,0.024070646000222174,49579.0,0.0
2020-05-19,China,1083.3367,3684.4197000000004,84063,0.0,4638.0,0.0,79310.0,0.0,67.28795240083473,-1.0703421049441744,0.022232434586844336,208614.0,124551.0
2020-05-19,Colombia,4.5709,-74.2973,16935,640.0,613.0,21.0,4050.0,147.0,68.09221028305474,-0.2660842227241602,0.023314403779854647,26293.0,9358.0
2020-05-19,Comoros,-11.6455,43.3333,11,0.0,1.0,0.0,3.0,0.0,66.06693010619904,-2.2913643995798623,0.02058979167841814,11.0,0.0
2020-05-19,Congo Republic,-4.0383,21.7587,420,8.0,15.0,0.0,132.0,22.0,65.97887061706447,-2.3794238887144274,0.020471325131179798,733.0,313.0
2020-05-19,DR Congo,-4.0383,21.7587,1629,91.0,61.0,0.0,290.0,18.0,66.66489259127022,-1.6934019145086836,0.021394231400708504,2851.0,1222.0
2020-05-19,Costa Rica,9.7489,-83.7534,882,16.0,10.0,0.0,577.0,2.0,68.2263038229298,-0.1319906828491071,0.02349479999645874,882.0,0.0
2020-05-19,Cote d'Ivoire,7.54,-5.5471,2153,34.0,28.0,0.0,1050.0,10.0,65.91643565446621,-2.4418588513126878,0.020387331293392843,2153.0,0.0
2020-05-19,Croatia,45.1,15.2,2232,4.0,96.0,1.0,1967.0,21.0,69.58456664169918,1.2262721359202828,0.025322072763575745,3791.0,1559.0
2020-05-19,Cuba,22.0,-80.0,1887,6.0,79.0,0.0,1538.0,33.0,69.44713916164937,1.0888446558704743,0.025137191392843646,3143.0,1256.0
2020-05-19,Cyprus,35.1264,33.4299,918,1.0,17.0,0.0,515.0,0.0,68.95724700151496,0.5989524957360572,0.024478138821671314,918.0,0.0
2020-05-19,Czech Republic,49.8175,15.473,8647,61.0,302.0,5.0,5726.0,85.0,69.33548852626647,0.9771940204875733,0.024986987645345553,12086.0,3439.0
2020-05-19,Denmark,118.1565,2.589999999999999,11231,76.0,551.0,3.0,9603.0,115.0,69.89027120697709,1.5319767011981895,0.025733337519701346,21412.0,10181.0
2020-05-19,Diamond Princess,0.0,0.0,713,0.0,14.0,0.0,651.0,0.0,,,,713.0,0.0
